Date,Left_team,Right_team,Left_score,Right_score,Tournament,Left_overall,Right_overall,Left_attack,Right_attack,Left_midfield,Right_midfield,Left_deffense,Right_deffense,Left_bu_speed,Right_bu_speed,Left_bu_passing,Right_bu_passing,Left_bu_positioning,Right_bu_positioning,Left_cc_crossing,Right_cc_crossing,Left_cc_passing,Right_cc_passing,Left_cc_shooting,Right_cc_shooting,Left_cc_positioning,Right_cc_positioning,Left_aggression,Right_aggression,Left_pressure,Right_pressure,Left_avg_age,Right_avg_age,win
10/12/2012,Denmark,Bulgaria,1,1,FIFA World Cup qualification,76,71,73,69,73,68,73,67,65,54,50,54,Organised,Organised,51,63,38,52,49,33,Organised,Organised,44,30,47,48,26,26,0
10/12/2012,Chile,Ecuador,1,3,FIFA World Cup qualification,76,73,76,72,74,73,70,67,62,50,42,50,Organised,Organised,50,50,65,65,54,50,Organised,Organised,44,55,35,35,26,26,0
10/12/2012,Germany,Ireland,6,1,FIFA World Cup qualification,84,77,82,75,84,74,80,72,59,45,40,45,Organised,Organised,48,50,48,40,63,50,Organised,Organised,47,40,44,40,24,27,1
10/12/2012,Poland,South Africa,1,0,Friendly,76,71,74,70,74,71,72,67,50,39,39,37,Organised,Organised,42,66,33,51,42,57,Organised,Organised,38,45,37,55,25,25,1
10/12/2012,Portugal,Russia,0,1,FIFA World Cup qualification,82,79,80,77,80,78,79,76,49,60,31,58,Organised,Organised,52,63,28,70,48,48,Organised,Organised,47,42,47,41,27,27,0
10/12/2012,Switzerland,Norway,1,1,FIFA World Cup qualification,76,74,71,73,74,73,74,73,41,70,47,59,Organised,Organised,45,52,37,68,32,61,Organised,Organised,45,47,47,33,24,27,0
10/12/2012,Turkey,Romania,0,1,FIFA World Cup qualification,77,73,74,74,78,69,73,69,40,51,33,56,Organised,Organised,49,55,48,48,39,55,Organised,Organised,44,42,50,35,25,26,0
10/16/2012,Belgium,Scotland,2,0,FIFA World Cup qualification,79,74,76,73,77,73,78,73,48,40,53,45,Organised,Organised,57,55,56,40,46,55,Organised,Organised,42,50,48,40,24,26,1
10/16/2012,Argentina,Chile,2,1,FIFA World Cup qualification,82,76,86,76,79,74,77,70,32,62,39,42,Free Form,Organised,36,50,41,65,68,54,Free Form,Organised,55,44,60,35,26,26,1
10/16/2012,Colombia,Cameroon,3,0,Friendly,77,76,77,74,74,73,72,75,50,40,35,44,Organised,Organised,50,68,50,52,65,50,Organised,Organised,55,48,45,58,26,25,1
10/16/2012,Germany,Sweden,4,4,FIFA World Cup qualification,84,77,82,75,84,77,80,73,59,49,40,32,Organised,Organised,48,39,48,33,63,68,Organised,Organised,47,59,44,42,24,27,0
10/16/2012,Turkey,Hungary,1,3,FIFA World Cup qualification,77,72,74,68,78,70,73,67,40,52,33,53,Organised,Organised,49,67,48,38,39,43,Organised,Organised,44,43,50,32,25,27,0
10/16/2012,Italy,Denmark,3,1,FIFA World Cup qualification,83,76,83,73,82,73,80,73,45,65,35,50,Organised,Organised,65,51,65,38,50,49,Organised,Organised,55,44,45,47,27,26,1
10/16/2012,Portugal,Northern Ireland,1,1,FIFA World Cup qualification,82,71,80,65,80,69,79,70,49,60,31,56,Organised,Organised,52,45,28,50,48,62,Organised,Organised,47,50,47,40,27,25,0
10/16/2012,Netherlands,Romania,4,1,FIFA World Cup qualification,82,73,81,74,81,69,75,69,29,51,34,56,Organised,Organised,45,55,67,48,66,55,Organised,Organised,49,42,42,35,26,26,1
10/16/2012,Spain,France,1,1,FIFA World Cup qualification,87,83,84,81,86,81,83,82,37,48,40,36,Organised,Organised,37,52,41,49,56,52,Free Form,Organised,50,46,37,36,26,26,0
10/17/2012,England,Poland,1,1,FIFA World Cup qualification,83,76,82,74,83,74,81,72,63,50,49,39,Organised,Organised,67,42,51,33,51,42,Organised,Organised,47,38,43,37,26,25,0
11/14/2012,Ivory Coast,Austria,3,0,Friendly,78,74,80,75,75,71,73,72,66,37,42,53,Organised,Organised,73,37,59,38,53,49,Organised,Organised,51,37,51,34,27,25,1
11/14/2012,Brazil,Colombia,1,1,Friendly,83,77,83,77,81,74,83,72,61,50,37,35,Organised,Organised,44,50,57,50,54,65,Organised,Organised,42,55,61,45,26,26,0
11/14/2012,Norway,Hungary,2,0,Friendly,74,72,73,68,73,70,73,67,70,52,59,53,Organised,Organised,52,67,68,38,61,43,Organised,Organised,47,43,33,32,27,27,1
11/14/2012,Ireland,Greece,0,1,Friendly,77,75,75,73,74,73,72,75,45,26,45,39,Organised,Organised,50,60,40,47,50,52,Organised,Organised,40,23,40,24,27,26,0
11/14/2012,Italy,France,1,2,Friendly,83,83,83,81,82,81,80,82,45,48,35,36,Organised,Organised,65,52,65,49,50,52,Organised,Organised,55,46,45,36,27,26,0
11/14/2012,Australia,Korea Republic,2,1,Friendly,72,71,70,72,69,70,68,68,39,66,59,57,Organised,Organised,78,50,22,78,30,45,Organised,Organised,39,48,34,61,27,24,1
11/14/2012,Germany,Netherlands,0,0,Friendly,84,82,82,81,84,81,80,75,59,29,40,34,Organised,Organised,48,45,48,67,63,66,Organised,Organised,47,49,44,42,24,26,0
11/14/2012,Uruguay,Poland,3,1,Friendly,79,76,81,74,74,74,77,72,75,50,55,39,Organised,Organised,50,42,65,33,50,42,Free Form,Organised,55,38,45,37,27,25,1
